timestamp,hour,minute,day_of_week,month,deployment,cpu,cpu_percent,memory_bytes,memory_percent,desired_replicas,available_replicas
1775347200,2,0,6,4,frontend,0.6906524474891026,115.10874124818375,166805504.0,41.42659505208333,6,6
1775347200,2,0,6,4,adservice,0.0349585936053505,17.47929680267525,106582016.0,56.46918402777777,1,1
1775347200,2,0,6,4,cartservice,0.19750023796090646,49.37505949022661,132890624.0,99.01123046875,2,2
1775347200,2,0,6,4,checkoutservice,0.0227728147787961,22.7728147787961,19779584.0,29.473876953125,1,1
1775347200,2,0,6,4,currencyservice,0.31664018693115237,79.16004673278809,298475520.0,111.1907958984375,4,4
1775347200,2,0,6,4,emailservice,0.009166757672753831,9.16675767275383,47435776.0,70.684814453125,1,1
1775347200,2,0,6,4,paymentservice,0.0062161077647173504,3.1080538823586754,139624448.0,104.0283203125,2,2
1775347200,2,0,6,4,productcatalogservice,0.28564161336901206,95.213871123004,56651776.0,28.139241536458332,3,3
1775347200,2,0,6,4,recommendationservice,0.3274729073608671,65.49458147217342,222494720.0,19.289772727272727,5,5
1775347200,2,0,6,4,shippingservice,0.02279291274750356,22.79291274750356,20054016.0,29.8828125,1,1
1775347200,2,0,6,4,frontend,0.6906524474891026,115.10874124818375,166805504.0,41.42659505208333,6,6
1775347260,2,1,6,4,frontend,0.6904447389297492,115.0741231549582,167239680.0,41.534423828125,6,6
1775347200,2,0,6,4,adservice,0.0349585936053505,17.47929680267525,106582016.0,56.46918402777777,1,1
1775347260,2,1,6,4,adservice,0.03564400906795044,17.822004533975218,106524672.0,56.43880208333333,1,1
1775347200,2,0,6,4,cartservice,0.19750023796090646,49.37505949022661,132890624.0,99.01123046875,2,2
1775347260,2,1,6,4,cartservice,0.19374223737492252,48.43555934373063,132984832.0,99.0814208984375,2,2
1775347200,2,0,6,4,checkoutservice,0.0227728147787961,22.7728147787961,19779584.0,29.473876953125,1,1
1775347260,2,1,6,4,checkoutservice,0.027303345626965052,27.303345626965054,19922944.0,29.6875,1,1
1775347200,2,0,6,4,currencyservice,0.31664018693115237,79.16004673278809,298475520.0,111.1907958984375,4,4
1775347260,2,1,6,4,currencyservice,0.32064561499156585,80.16140374789146,299094016.0,111.42120361328125,4,4
1775347200,2,0,6,4,emailservice,0.009166757672753831,9.16675767275383,47435776.0,70.684814453125,1,1
1775347260,2,1,6,4,emailservice,0.010509623662528368,10.509623662528368,47439872.0,70.69091796875,1,1
1775347200,2,0,6,4,paymentservice,0.0062161077647173504,3.1080538823586754,139624448.0,104.0283203125,2,2
1775347260,2,1,6,4,paymentservice,0.005845471995350913,2.9227359976754563,139636736.0,104.0374755859375,2,2
1775347200,2,0,6,4,productcatalogservice,0.28564161336901206,95.213871123004,56651776.0,28.139241536458332,3,3
1775347260,2,1,6,4,productcatalogservice,0.2916189167020794,97.20630556735979,56643584.0,28.135172526041668,3,3
1775347200,2,0,6,4,recommendationservice,0.3274729073608671,65.49458147217342,222494720.0,19.289772727272727,5,5
1775347260,2,1,6,4,recommendationservice,0.3418078566430621,68.36157132861243,222511104.0,19.29119318181818,5,5
1775347200,2,0,6,4,shippingservice,0.02279291274750356,22.79291274750356,20054016.0,29.8828125,1,1
1775347260,2,1,6,4,shippingservice,0.024367191859344176,24.367191859344175,20348928.0,30.322265625,1,1
